subject_id,subject,phases,grade_span,current_source_id,source_pages,version_resolution_rule,extraction_status,structured_chunk_count,scope_status,notes
SUBJ-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI,Pendidikan Agama Islam Dan Budi Pekerti,"A,B,C,D,E,F",SD-SMA,BKPDM-020-2026,4-9,020/2026 overrides 046/2025 for this subject,IMAGE_ONLY_PENDING_STRUCTURED_EXTRACTION,0,PARTIAL,CP agama tersedia sebagai PDF pindai; perlu ekstraksi multimodal dan verifikasi manusia.
SUBJ-PENDIDIKAN-AGAMA-KRISTEN-DAN-BUDI-PEKERTI,Pendidikan Agama Kristen Dan Budi Pekerti,"A,B,C,D,E,F",SD-SMA,BKPDM-020-2026,10-17,020/2026 overrides 046/2025 for this subject,IMAGE_ONLY_PENDING_STRUCTURED_EXTRACTION,0,PARTIAL,CP agama tersedia sebagai PDF pindai; perlu ekstraksi multimodal dan verifikasi manusia.
SUBJ-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-PEKERTI,Pendidikan Agama Katolik Dan Budi Pekerti,"A,B,C,D,E,F",SD-SMA,BKPDM-020-2026,18-25,020/2026 overrides 046/2025 for this subject,IMAGE_ONLY_PENDING_STRUCTURED_EXTRACTION,0,PARTIAL,CP agama tersedia sebagai PDF pindai; perlu ekstraksi multimodal dan verifikasi manusia.
SUBJ-PENDIDIKAN-AGAMA-HINDU-DAN-BUDI-PEKERTI,Pendidikan Agama Hindu Dan Budi Pekerti,"A,B,C,D,E,F",SD-SMA,BKPDM-020-2026,26-30,020/2026 overrides 046/2025 for this subject,IMAGE_ONLY_PENDING_STRUCTURED_EXTRACTION,0,PARTIAL,CP agama tersedia sebagai PDF pindai; perlu ekstraksi multimodal dan verifikasi manusia.
SUBJ-PENDIDIKAN-AGAMA-BUDDHA-DAN-BUDI-PEKERTI,Pendidikan Agama Buddha Dan Budi Pekerti,"A,B,C,D,E,F",SD-SMA,BKPDM-020-2026,31-37,020/2026 overrides 046/2025 for this subject,IMAGE_ONLY_PENDING_STRUCTURED_EXTRACTION,0,PARTIAL,CP agama tersedia sebagai PDF pindai; perlu ekstraksi multimodal dan verifikasi manusia.
SUBJ-PENDIDIKAN-AGAMA-KHONGHUCU-DAN-BUDI-PEKERTI,Pendidikan Agama Khonghucu Dan Budi Pekerti,"A,B,C,D,E,F",SD-SMA,BKPDM-020-2026,38-44,020/2026 overrides 046/2025 for this subject,IMAGE_ONLY_PENDING_STRUCTURED_EXTRACTION,0,PARTIAL,CP agama tersedia sebagai PDF pindai; perlu ekstraksi multimodal dan verifikasi manusia.
SUBJ-PENDIDIKAN-PANCASILA,Pendidikan Pancasila,"A,B,C,D,E,F",SD-SMA,BSKAP-046-2025,76-88,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,6,CURRENT,
SUBJ-BAHASA-INDONESIA,Bahasa Indonesia,"A,B,C,D,E,F",SD-SMA,BSKAP-046-2025,88-100,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,6,CURRENT,
SUBJ-BAHASA-INDONESIA-TINGKAT-LANJUT,Bahasa Indonesia Tingkat Lanjut,F,SD-SMA,BSKAP-046-2025,100-106,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-MATEMATIKA,Matematika,"A,B,C,D,E,F",SD-SMA,BSKAP-046-2025,106-120,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,6,CURRENT,
SUBJ-MATEMATIKA-TINGKAT-LANJUT,Matematika Tingkat Lanjut,F,SD-SMA,BSKAP-046-2025,120-126,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-BAHASA-INGGRIS,Bahasa Inggris,"B,C,D,E,F",SD-SMA,BSKAP-046-2025,126-139,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,5,CURRENT,
SUBJ-BAHASA-INGGRIS-TINGKAT-LANJUT,Bahasa Inggris Tingkat Lanjut,F,SD-SMA,BSKAP-046-2025,139-146,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-ILMU-PENGETAHUAN-ALAM-DAN-SOSIAL-IPAS,Ilmu Pengetahuan Alam Dan Sosial (Ipas),"B,C",SD-SMA,BSKAP-046-2025,146-153,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,2,CURRENT,
SUBJ-ILMU-PENGETAHUAN-ALAM-IPA,Ilmu Pengetahuan Alam (Ipa),"D,E",SD-SMA,BSKAP-046-2025,153-160,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,2,CURRENT,
SUBJ-FISIKA,Fisika,F,SD-SMA,BSKAP-046-2025,160-166,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-KIMIA,Kimia,F,SD-SMA,BSKAP-046-2025,166-172,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-BIOLOGI,Biologi,F,SD-SMA,BSKAP-046-2025,172-177,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-INFORMATIKA,Informatika,"D,E,F",SD-SMA,BSKAP-046-2025,177-186,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,3,CURRENT,
SUBJ-ILMU-PENGETAHUAN-SOSIAL,Ilmu Pengetahuan Sosial,"D,E",SD-SMA,BSKAP-046-2025,186-195,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,2,CURRENT,
SUBJ-SEJARAH,Sejarah,F,SD-SMA,BSKAP-046-2025,195-201,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-SEJARAH-TINGKAT-LANJUT,Sejarah Tingkat Lanjut,F,SD-SMA,BSKAP-046-2025,201-207,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-GEOGRAFI,Geografi,F,SD-SMA,BSKAP-046-2025,207-214,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-EKONOMI,Ekonomi,F,SD-SMA,BSKAP-046-2025,214-220,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-SOSIOLOGI,Sosiologi,F,SD-SMA,BSKAP-046-2025,220-227,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-ANTROPOLOGI,Antropologi,F,SD-SMA,BSKAP-046-2025,227-234,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-SENI-MUSIK,Seni Musik,"A,B,C,D,E,F",SD-SMA,BSKAP-046-2025,234-243,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,6,CURRENT,
SUBJ-SENI-RUPA,Seni Rupa,"A,B,C,D,E,F",SD-SMA,BSKAP-046-2025,243-250,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,6,CURRENT,
SUBJ-SENI-TARI,Seni Tari,"A,B,C,D,E,F",SD-SMA,BSKAP-046-2025,250-260,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,6,CURRENT,
SUBJ-SENI-TEATER,Seni Teater,"A,B,C,D,E,F",SD-SMA,BSKAP-046-2025,260-268,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,6,CURRENT,
SUBJ-PRAKARYA-BUDI-DAYA,Prakarya Budi Daya,"D,E",SD-SMA,BSKAP-046-2025,268-273,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,2,CURRENT,
SUBJ-PRAKARYA-KERAJINAN,Prakarya Kerajinan,"D,E",SD-SMA,BSKAP-046-2025,273-278,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,2,CURRENT,
SUBJ-PRAKARYA-PENGOLAHAN,Prakarya Pengolahan,"D,E",SD-SMA,BSKAP-046-2025,278-282,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,2,CURRENT,
SUBJ-PRAKARYA-REKAYASA,Prakarya Rekayasa,"D,E",SD-SMA,BSKAP-046-2025,282-287,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,2,CURRENT,
SUBJ-PRAKARYA-DAN-KEWIRAUSAHAAN-BUDI-DAYA,Prakarya Dan Kewirausahaan Budi Daya,F,SD-SMA,BSKAP-046-2025,287-290,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-PRAKARYA-DAN-KEWIRAUSAHAAN-KERAJINAN,Prakarya Dan Kewirausahaan Kerajinan,F,SD-SMA,BSKAP-046-2025,290-295,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-PRAKARYA-DAN-KEWIRAUSAHAAN-PENGOLAHAN,Prakarya Dan Kewirausahaan Pengolahan,F,SD-SMA,BSKAP-046-2025,295-298,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
SUBJ-PRAKARYA-DAN-KEWIRAUSAHAAN-REKAYASA,Prakarya Dan Kewirausahaan Rekayasa,F,SD-SMA,BSKAP-046-2025,298-302,046/2025 remains current; not changed by 020/2026,TEXT_PHASE_CHUNKS_AVAILABLE,1,CURRENT,
