curriculum_record_id,country,curriculum_name,curriculum_version,academic_year,education_level,phase,grade,subject,subject_variant,element_code,element_name,learning_outcome_code,learning_outcome_text,learning_objective_code,learning_objective_text,topic_code,topic_name,topic_description,prerequisites,suggested_sequence,assessment_type,source_resource_id,source_document_title,source_page_start,source_page_end,official_source_url,effective_from,effective_until,verification_status,license_category,extraction_confidence,review_notes
CPM-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-B,ID,Kurikulum Nasional,2026,2026/2027,SD,B,3-4,Pendidikan Agama Islam dan Budi,,,,CP-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-B,"Pada akhir fase B, murid memiliki kemampuan sebagai berikut. 2.1. Al-Qur’an Hadis Memahami beberapa surah pendek, ayat Al-Qur’an dan hadis tentang kewajiban salat dan menjaga hubungan baik dengan sesama. 2.2. Akidah Memahami sifat-sifat Allah Swt., beberapa asmaulhusna, iman kepada kitab-kitab Allah Swt. dan rasul-rasul Allah Swt. 2.3. Akhlak Memahami akhlak terhadap Allah Swt. dengan berbaik sangka kepada-Nya, akhlak terhadap orang tua, keluarga, dan pendidik.",,,,,,,,,CP-000,"Capaian Pembelajaran (master), id 119",,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,,,extracted_machine,OFFICIAL_PUBLIC_ACCESS,medium,machine-extracted phase-level CP; element tables pending
CPM-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-C,ID,Kurikulum Nasional,2026,2026/2027,SD,C,5-6,Pendidikan Agama Islam dan Budi,,,,CP-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-C,"Pada akhir fase C, murid memiliki kemampuan sebagai berikut. 3.1. Al-Qur’an Hadis Memahami beberapa surah pendek dan ayat Al-Qur’an serta hadis tentang keragaman. 3.2. Akidah Memahami beberapa asmaulhusna, iman kepada hari akhir, qadā ʾ dan qadr. 3.3. Akhlak Memahami akhlak terhadap Allah Swt. dengan berdoa dan bertawakal kepada-Nya, akhlak terhadap teman, tetangga, non muslim, hewan, dan tumbuhan. 3.4. Fikih Memahami puasa sunah, zakat, infak, sedekah, hadiah, makanan dan minuman yang halal dan haram. 3.5. Sejarah Peradaban Islam Memahami kisah Nabi Muhammad saw. periode Madinah dan khulafaurasyidin. 4. Fase D (Umumnya untuk Kelas VII, VIII dan IX SMP/MTs/Program Paket B)",,,,,,,,,CP-000,"Capaian Pembelajaran (master), id 119",,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,,,extracted_machine,OFFICIAL_PUBLIC_ACCESS,medium,machine-extracted phase-level CP; element tables pending
CPM-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-D,ID,Kurikulum Nasional,2026,2026/2027,SMP,D,7-9,Pendidikan Agama Islam dan Budi,,,,CP-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-D,"Pada akhir fase D, murid memiliki kemampuan sebagai berikut. 4.1. Al-Qur’an Hadis Memahami ayat Al-Qur’an dan hadis tentang",,,,,,,,,CP-000,"Capaian Pembelajaran (master), id 119",,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,,,extracted_machine,OFFICIAL_PUBLIC_ACCESS,medium,machine-extracted phase-level CP; element tables pending
CPM-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-E,ID,Kurikulum Nasional,2026,2026/2027,SMA,E,10,Pendidikan Agama Islam dan Budi,,,,CP-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-E,"Pada akhir fase E, murid memiliki kemampuan sebagai berikut. 5.1. Al-Qur’an Hadis Memahami ayat Al-Qur’an dan hadis tentang perintah berlomba-lomba dalam kebaikan, larangan pergaulan bebas, dan zina. 5.2. Akidah Memahami beberapa cabang iman ( syu‘ab al-īmān ) . 5.3. Akhlak Memahami manfaat menghindari penyakit hati. 5.4. Fikih Memahami sumber hukum Islam dan pentingnya menjaga lima prinsip dasar hukum Islam ( al-kulliyāt al-khamsah) .",,,,,,,,,CP-000,"Capaian Pembelajaran (master), id 119",,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,,,extracted_machine,OFFICIAL_PUBLIC_ACCESS,medium,machine-extracted phase-level CP; element tables pending
CPM-PENDIDIKAN-AGAMA-KRISTEN-DAN-F,ID,Kurikulum Nasional,2026,2026/2027,SMA,F,11-12,Pendidikan Agama Kristen dan,,,,CP-PENDIDIKAN-AGAMA-KRISTEN-DAN-F,"Pada akhir fase F, murid memiliki kemampuan sebagai berikut. 6.1. Al-Qur’an Hadis Memahami ayat Al-Qur’an dan hadis tentang pentingnya berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama. 6.2. Akidah Memahami beberapa cabang iman ( syu‘ab al-īmān ), keterkaitan antara iman, Islam, dan ihsan . 6.3. Akhlak Memahami manfaat menghindari penyakit sosial; Memahami adab bermasyarakat dan etika digital dalam Islam. 6.4. Fikih Memahami ketentuan khotbah, tablig dan dakwah, muamalah, munakahat, dan mawāris . 6.5. Sejarah Peradaban Islam Memahami peran tokoh ulama dalam perkembangan peradaban Islam di dunia dan peran organisasi-organisasi Islam di Indonesia. I.2.",,,,,,,,,CP-000,"Capaian Pembelajaran (master), id 119",,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,,,extracted_machine,OFFICIAL_PUBLIC_ACCESS,medium,machine-extracted phase-level CP; element tables pending
CPM-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-A,ID,Kurikulum Nasional,2026,2026/2027,SD,A,1-2,Pendidikan Agama Katolik dan Budi,,,,CP-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-A,"Pada akhir fase A, murid memiliki kemampuan sebagai berikut. 1.1. Pribadi Peserta Didik Memahami dirinya sebagai pribadi yang dicintai Tuhan, memiliki anggota tubuh yang berguna, memahami cara merawat tubuhnya; memahami teman-teman, lingkungan rumah dan satuan pendidikan sebagai tempat mengembangkan potensi diri. 1.2. Yesus Kristus Memahami bahwa Tuhan menciptakan langit, bumi, dan seluruh isinya; memahami tokoh-tokoh iman di dalam Perjanjian Lama (Nuh, Abraham, Ishak, dan Yakub); memahami kisah kelahiran Tuhan Yesus, kisah tiga orang Majus, masa kanak-kanak Yesus di Nazaret, Yesus dipersembahkan di Bait Allah, dan berada di Bait Allah pada umur 12 tahun. 1.3. Gereja Memahami imannya dengan cara membuat tanda salib, berdoa Bapa Kami, Salam Maria,",,,,,,,,,CP-000,"Capaian Pembelajaran (master), id 119",,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,,,extracted_machine,OFFICIAL_PUBLIC_ACCESS,medium,machine-extracted phase-level CP; element tables pending
CPM-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-B,ID,Kurikulum Nasional,2026,2026/2027,SD,B,3-4,Pendidikan Agama Katolik dan Budi,,,,CP-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-B,"Pada akhir fase B, murid memiliki kemampuan sebagai berikut. 2.1. Pribadi Peserta Didik Memahami dirinya sebagai pribadi yang tumbuh dan berkembang, mewujudkan iman dengan cara melakukan perbuatan baik; memahami diri sebagai pribadi yang unik, bersyukur dan bersedia mengembangkan keunikan diri bersama orang lain dan lingkungan sekitar. 2.2. Yesus Kristus Memahami karya keselamatan Allah melalui tokoh-tokoh Yusuf, Musa, dan Yosua; memahami Sepuluh Perintah Allah sebagai pedoman hidup; memahami bangsa Israel memasuki tanah terjanji, Allah memberkati pemimpin Israel (Samuel, Saul, dan Daud); memahami Yesus sebagai pemenuhan janji Allah yang mewartakan Kerajaan Allah melalui perkataan, perbuatan, dan mukjizat 2.3. Gereja Murid memahami sakramen baptis, sakramen ekaristi, dan sakramen tobat; mengungkapkan rasa syukur dalam doa pribadi dan doa bersama,",,,,,,,,,CP-000,"Capaian Pembelajaran (master), id 119",,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,,,extracted_machine,OFFICIAL_PUBLIC_ACCESS,medium,machine-extracted phase-level CP; element tables pending
CPM-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-C,ID,Kurikulum Nasional,2026,2026/2027,SD,C,5-6,Pendidikan Agama Katolik dan Budi,,,,CP-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-C,"Pada akhir fase C, murid memiliki kemampuan sebagai berikut 3.1. Pribadi Peserta Didik Memahami diri sebagai perempuan atau laki-laki sebagai citra Allah yang sederajat dan saling melengkapi; memahami hak dan kewajiban dirinya sebagai warga negara dan bangga sebagai bangsa Indonesia; memahami diri sebagai warga dunia. 3.2. Yesus Kristus Memahami perjuangan tokoh-tokoh kitab suci: Daud sebagai pemimpin yang tangguh; Salomo yang bijaksana, dan Ester perempuan pemberani, serta tokoh Maria dan Elisabet yang setia dan berserah kepada Allah; meneladani Yesus yang taat kepada Allah; mengajarkan pengampunan, memanggil orang berdosa; menderita, wafat, dan bangkit; mengutus Roh Kudus untuk menguatkan para rasul, dan orang yang beriman kepada-Nya; memahami perjuangan Nabi Elia yang menobatkan bangsa Israel; Nabi Amos sebagai pejuang keadilan; dan Nabi Yesaya yang me-nubuat-kan kedatangan Juru Selamat; memahami Yesus yang mewartakan kerajaan Allah dengan perkataan",,,,,,,,,CP-000,"Capaian Pembelajaran (master), id 119",,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,,,extracted_machine,OFFICIAL_PUBLIC_ACCESS,medium,machine-extracted phase-level CP; element tables pending
CPM-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-D,ID,Kurikulum Nasional,2026,2026/2027,SMP,D,7-9,Pendidikan Agama Katolik dan Budi,,,,CP-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-D,"Pada akhir fase D, murid memiliki kemampuan sebagai berikut 4.1. Pribadi Peserta Didik Memahami manusia sebagai citra Allah yang unik, sebagai laki-laki dan perempuan; memahami kemampuan dan keterbatasan; memahami diri yang tumbuh dan berkembang karena peran keluarga, teman, satuan pendidikan, dan gereja. 4.2. Yesus Kristus Memahami pribadi Yesus yang berbelas kasih, pengampun, dan pendoa; memahami pribadi dan karya Yesus sebagai pemenuhan janji Allah, yang mewartakan kerajaan Allah melalui sabda, perbuatan, dan mukjizat-Nya; memahami Yesus yang memanggil dan mengutus para murid-Nya; memahami sengsara, wafat, dan kebangkitan Yesus, peristiwa Yesus naik ke surga; memahami",,,,,,,,,CP-000,"Capaian Pembelajaran (master), id 119",,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,,,extracted_machine,OFFICIAL_PUBLIC_ACCESS,medium,machine-extracted phase-level CP; element tables pending
CPM-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-E,ID,Kurikulum Nasional,2026,2026/2027,SMA,E,10,Pendidikan Agama Katolik dan Budi,,,,CP-PENDIDIKAN-AGAMA-KATOLIK-DAN-BUDI-E,"Pada akhir fase E, murid memiliki kemampuan sebagai berikut 5.1. Pribadi Peserta Didik Memahami dirinya sebagai pribadi yang unik, kesetaraan antara laki-laki dan perempuan,",,,,,,,,,CP-000,"Capaian Pembelajaran (master), id 119",,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,,,extracted_machine,OFFICIAL_PUBLIC_ACCESS,medium,machine-extracted phase-level CP; element tables pending
