learning_outcome_code,education_level,phase,subject,element_name,learning_outcome_text,source_resource_id,official_source_url,verification_status
LO-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI-A-1.1,SD,A,Pendidikan Agama Islam dan Budi Pekerti,Al-Qur'an Hadis,"Memahami huruf hijaiah berharakat, huruf hijaiah bersambung, Surah al-F ā ti ḥ ah, beberapa surah pendek Al-Qur'an, dan hadis tentang kebersihan.",AUTO-119,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,superseded_pending_review
LO-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI-A-1.2,SD,A,Pendidikan Agama Islam dan Budi Pekerti,Akidah,"Memahami rukun iman, iman kepada Allah Swt., beberapa asmaulhusna, dan iman kepada malaikat.",AUTO-119,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,superseded_pending_review
LO-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI-A-1.3,SD,A,Pendidikan Agama Islam dan Budi Pekerti,Akhlak,Memahami akhlak terhadap Allah Swt. dengan menyucikan dan memuji-Nya dan akhlak terhadap diri sendiri.,AUTO-119,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,superseded_pending_review
LO-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI-A-1.4,SD,A,Pendidikan Agama Islam dan Budi Pekerti,Fikih,"Memahami rukun Islam, syahadatain, tata cara bersuci, salat fardu, azan, ikamah, zikir, dan berdoa setelah salat.",AUTO-119,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,superseded_pending_review
LO-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI-A-1.5,SD,A,Pendidikan Agama Islam dan Budi Pekerti,Sejarah Peradaban Islam,Memahami kisah beberapa nabi dan rasul.,AUTO-119,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,superseded_pending_review
LO-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI-B-2.1,SD,B,Pendidikan Agama Islam dan Budi Pekerti,Al-Qur'an Hadis,"Memahami beberapa surah pendek, ayat Al-Qur'an dan hadis tentang kewajiban salat dan menjaga hubungan baik dengan sesama.",AUTO-119,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,superseded_pending_review
LO-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI-B-2.2,SD,B,Pendidikan Agama Islam dan Budi Pekerti,Akidah,"Memahami sifat-sifat Allah Swt., beberapa asmaulhusna, iman kepada kitab-kitab Allah Swt. dan rasul-rasul Allah Swt.",AUTO-119,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,superseded_pending_review
LO-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI-B-2.3,SD,B,Pendidikan Agama Islam dan Budi Pekerti,Akhlak,"Memahami akhlak terhadap Allah Swt. dengan berbaik sangka kepada-Nya, akhlak terhadap orang tua, keluarga, dan pendidik.",AUTO-119,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,superseded_pending_review
LO-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI-B-2.4,SD,B,Pendidikan Agama Islam dan Budi Pekerti,Fikih,"Memahami puasa, salat jumat dan salat sunah, balig dan tanggung jawab yang menyertainya ( takl ī f ).",AUTO-119,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,superseded_pending_review
LO-PENDIDIKAN-AGAMA-ISLAM-DAN-BUDI-PEKERTI-B-2.5,SD,B,Pendidikan Agama Islam dan Budi Pekerti,Sejarah Peradaban Islam,Memahami kisah Nabi Muhammad saw. sebelum dan sesudah menjadi rasul periode Makkah.,AUTO-119,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,superseded_pending_review
