resource_id,resource_type,title,normalized_title,official_title,description,issuing_authority,publisher,publication_year,publication_date,effective_from,effective_until,academic_year,curriculum_name,curriculum_version,regulation_reference,regulation_status,document_status,education_level,phase,grade_from,grade_to,subject,subject_variant,element,content_scope,language,official_source_url,download_url,final_resolved_url,source_domain,source_page,local_file_path,file_name,file_extension,mime_type,file_size_bytes,sha256,download_timestamp,last_verified_at,license_category,license_name,license_url,copyright_holder,commercial_use_allowed,modification_allowed,redistribution_allowed,attribution_required,verification_status,verified_by,supersedes_resource_id,superseded_by_resource_id,related_resource_ids,notes
REG-001,regulation,"Permendikdasmen No. 13 Tahun 2025 tentang Penyesuaian Kurikulum pada PAUD, Jenjang Pendidikan Dasar, dan Jenjang Pendidikan Menengah",permendikdasmen_13_2025_penyesuaian_kurikulum,Permendikdasmen No. 13 Tahun 2025,Amendment adjusting the curriculum: adds Deep Learning approach + KKA elective; no curriculum change.,Kementerian Pendidikan Dasar dan Menengah,,2025,,,,,Kurikulum Merdeka,,Permendikdasmen 13 Tahun 2025,Berlaku,,,,,,,,,,id,https://kurikulum.kemendikdasmen.go.id/berita/detail/ringkasan-permendikdasmen-nomor-13-tahun-2025,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=118,https://kurikulum.kemendikdasmen.go.id/file/1752637369_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\reg_001_permendikdasmen_13_tahun_2025__118.pdf,reg_001_permendikdasmen_13_tahun_2025__118.pdf,pdf,application/pdf,630960,2fab2e91fc07efd3243b83c6bec383b6997083079fcada9b13359f4aff357325,2026-07-28T03:51:28Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,verified_current,Code (portal fetch 2026-07-28),,,REG-002,Amends REG-002 (Permendikdasmen 12/2024). Verified via portal banner.
REG-002,regulation,"Permendikdasmen No. 12 Tahun 2024 tentang Kurikulum pada PAUD, Jenjang Pendidikan Dasar, dan Jenjang Pendidikan Menengah",permendikdasmen_12_2024_kurikulum,Permendikdasmen No. 12 Tahun 2024,Base curriculum regulation for PAUD/Dasmen. Amended by 13/2025.,Kementerian Pendidikan Dasar dan Menengah,,2024,,,,,Kurikulum Merdeka,,Permendikdasmen 12 Tahun 2024,Berlaku (to confirm on JDIH),,,,,,,,,,id,,,,jdih.kemendikdasmen.go.id,,,,,,,,,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,REG-001,Base regulation. Amended by REG-001. Exact full-text URL to confirm on JDIH.
FW-001,framework,Pedoman Implementasi Pembelajaran Mendalam,pedoman_pembelajaran_mendalam,,"Pedoman for the Deep Learning pedagogical approach (an approach, not a mapel).",BSKAP; Pusat Kurikulum dan Pembelajaran,,,,,,,Kurikulum Merdeka,,,,,,,,,,,,pedagogical approach,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=123,https://kurikulum.kemendikdasmen.go.id/file/1758017373_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\fw_001_pedoman_implementasi_pembelajaran_mendalam__123.pdf,fw_001_pedoman_implementasi_pembelajaran_mendalam__123.pdf,pdf,application/pdf,2412960,20706793bca33c17062d72cfc0fe0c362e31f867f42656287b5c05be4fab2da3,2026-07-28T03:50:58Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,verified_current,Code (portal fetch 2026-07-28),,,,Maps to 02_curriculum_framework/deep_learning_guidance.
FW-002,framework,Paparan Pembelajaran Mendalam,paparan_pembelajaran_mendalam,,Slide deck / overview for the Deep Learning approach.,BSKAP; Pusat Kurikulum dan Pembelajaran,,,,,,,Kurikulum Merdeka,,,,,,,,,,,,pedagogical approach (overview),id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=115,https://kurikulum.kemendikdasmen.go.id/file/1742214136_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\fw_002_paparan_pembelajaran_mendalam__115.pdf,fw_002_paparan_pembelajaran_mendalam__115.pdf,pdf,application/pdf,6966966,5c76281c3ef13a43ba36b19f7df23ba55967aa31e5c25b510c7f245b653ec604,2026-07-28T04:15:33Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,verified_supplementary,Code (portal fetch 2026-07-28),,,,Supplementary to FW-001.
FW-003,framework,Pedoman Koding dan Kecerdasan Artifisial,pedoman_koding_dan_ka,,"Pedoman for KKA, an elective subject provided at school discretion.",BSKAP; Pusat Kurikulum dan Pembelajaran,,,,,,,Kurikulum Merdeka,,Permendikdasmen 13 Tahun 2025,,,,,,,Koding dan Kecerdasan Artifisial,,,elective subject pedoman,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=124,https://kurikulum.kemendikdasmen.go.id/file/1758017435_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\fw_003_pedoman_koding_dan_kecerdasan_artifisial__124.pdf,fw_003_pedoman_koding_dan_kecerdasan_artifisial__124.pdf,pdf,application/pdf,2109647,8441abc021bbb4598b34fbdc1300ceb26b34394fd343a0e74c73ca6369a480a2,2026-07-28T03:50:51Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,verified_current,Code (portal fetch 2026-07-28),,,,"KKA is elective, not mandatory."
FW-004,framework,Koding dan KA — Pelajari Lebih Lanjut (paparan),koding_ka_paparan,,Overview / learn-more slide for KKA.,BSKAP; Pusat Kurikulum dan Pembelajaran,,,,,,,Kurikulum Merdeka,,,,,,,,,Koding dan Kecerdasan Artifisial,,,elective subject overview,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=117,https://kurikulum.kemendikdasmen.go.id/file/1741766787_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\fw_004_koding_dan_ka_pelajari_lebih_lanjut__117.pdf,fw_004_koding_dan_ka_pelajari_lebih_lanjut__117.pdf,pdf,application/pdf,6736128,8d931982de0108a8e8c8bb019d08fac178b2f8db0fbd39eb8ea4f8b52ea1ab35,2026-07-28T04:13:00Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,verified_supplementary,Code (portal fetch 2026-07-28),,,,Supplementary to FW-003.
SG-000,subject_guide,Panduan Mata Pelajaran (master/acuan),panduan_mata_pelajaran_master,,"Hub for per-mapel Panduan, organized by education level (SD/SMP/SMA/...).",BSKAP; Pusat Kurikulum dan Pembelajaran,,,,,,,Kurikulum Merdeka,,,,,,,,,,,,subject guides (all mapel),id,https://kurikulum.kemendikdasmen.go.id/panduan-mapel,,,kurikulum.kemendikdasmen.go.id,,,,,,,,,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,verified_current,Code (portal fetch 2026-07-28),,,,Master hub. Per-mapel per-level docs pending JS-listing extraction (CP3/CP4).
BK-000,book,SIBI — Sistem Informasi Perbukuan Indonesia,sibi_portal,,Official electronic-books portal (BSE) for student/teacher books.,Kementerian Pendidikan Dasar dan Menengah,,,,,,,Kurikulum Merdeka,,,,,,,,,,,,books portal,id,https://buku.kemendikdasmen.go.id/,,,buku.kemendikdasmen.go.id,,,,,,,,,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,verified_current,Code (portal fetch 2026-07-28),,,,Portal verified live 2026-07-28. Per-subject BSE enumeration pending.
AUTO-7,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=7,https://kurikulum.kemendikdasmen.go.id/file/1754562270_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_7__7.pdf,resource_7__7.pdf,pdf,application/pdf,143094,207a66b76105aa3a180b6e50213be8ef44df15ff040efbcdb6305be86f7ae5b4,2026-07-28T03:57:45Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-45,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=45,https://kurikulum.kemendikdasmen.go.id/wp-content/uploads/2022/08/Panduan-Pelaksanaan-Pendidikan-Inklusif.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_45__45.pdf,resource_45__45.pdf,pdf,application/pdf,2305299,de79534088f9f4c35c2ff592973727a7b74630eefbb7b0583e8cceb540c43427,2026-07-28T04:09:55Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-46,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=46,https://kurikulum.kemendikdasmen.go.id/wp-content/uploads/2022/08/Panduan-Pelaksanaan-PPI.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_46__46.pdf,resource_46__46.pdf,pdf,application/pdf,5977498,ed3525fa2df8ede815ed86866d7f68b2ea7610f0b2a3a12d88a6e483dde0e181,2026-07-28T04:09:53Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-77,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=77,https://kurikulum.kemendikdasmen.go.id/file/1678859725_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_77__77.pdf,resource_77__77.pdf,pdf,application/pdf,15065362,e52c4a3abf4a2e2ad04fb3bbb0080dba6f6c61196f865869143b7336e6492b68,2026-07-28T03:58:21Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
